price,rooms,square_meters,floor,max_floor,street,imageurl,Elevator,parking,saferoom,condition,potential,Balcony,airways,balcony_size
₪2500000,1.5,39,0,,וילסון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2500000,2.0,47,1,,נחלת בנימין ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2500000,2.0,40,4,,סוקולוב ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2550000,2.0,40,2,,לוריא ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2550000,2.5,52,2,,בן עטר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2650000,2.0,49,1,,לוינסקי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2690000,2.5,45,1,,העליה,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪2850000,2.0,58,1,,מסריק ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3100000,2.0,46,1,,ישעיהו ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3250000,2.0,70,0,,הרב קוק,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3200000,2.0,48,6,,דיזנגוף,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3200000,1.5,74,2,,נחלת בנימין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3250000,2.0,55,3,,חובבי ציון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3250000,3.0,72,0,,הקונגרס ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3300000,2.0,67,4,,כורש,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3300000,3.5,59,1,,נמיר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3350000,2.0,63,0,,בילו ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3350000,3.5,65,3,,יהודה הלוי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3350000,2.5,64,3,,בוגרשוב,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3350000,2.5,54,1,,בר כוכבא,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3390000,3.0,72,3,,שינקין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3400000,2.0,63,0,,"רש""י",https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3400000,2.0,48,3,,נחלת בנימין,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3400000,3.5,84,1,,נמיר,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3400000,2.0,75,3,,אבן גבירול ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3400000,2.5,60,0,,"שדרות ח""ן",https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3400000,2.5,73,3,,החשמונאים ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3450000,2.5,62,3,,נצח ישראל ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3500000,2.0,68,3,,פרישמן ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3500000,3.0,67,2,,הירקון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3550000,3.0,82,4,,מלכי ישראל ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3550000,2.0,55,1,,א.ד גורדון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3600000,3.0,71,1,,ארלוזורוב ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3600000,3.0,78,0,,שפינוזה  ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3600000,3.0,60,0,,יוזף אליהו,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3650000,2.0,60,3,,לכיש ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3650000,2.0,71,0,,גאולה ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3700000,3.0,83,4,,אבן גבירול ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3700000,3.0,77,3,,מקווה ישראל ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3700000,3.0,74,4,,המכבי,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3750000,2.0,72,0,,הקליר ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3750000,2.0,70,1,,הרמן כהן ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3800000,3.0,77,2,,ארלוזורוב ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3800000,2.0,78,3,,שלמה המלך,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3800000,3.0,72,1,,זכריה ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3800000,2.0,70,0,,פינסקר,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3800000,3.0,83,2,,יהודה הלוי ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3850000,2.0,72,2,,המלך ג'ורג',https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3850000,2.0,83,3,,דיזנגוף ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3850000,2.0,74,0,,פיארברג,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪3890000,2.0,70,2,,הרב קוק,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4000000,3.5,85,1,,נצח ישראל,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4000000,2.0,71,1,,מנדלסון ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4200000,2.0,85,0,,פיארברג,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4000000,3.0,84,0,,אמיל זולא ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4050000,3.0,78,1,,המליץ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4090000,3.0,85,1,,דיזנגוף,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4100000,3.5,80,4,,דיזנגוף ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪5150000,3.0,85,2,,ארבע ארצות ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4200000,2.0,85,3,,גדעון,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4200000,2.5,88,3,,בר כוכבא,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
₪4200000,3.0,85,3,,ארלוזורוב ,https://www.newhomeco.com/_next/image?url=https%3A%2F%2Fnewhomecoprod.wpenginepowered.com%2Fwp-content%2Fuploads%2FDivision%2FNorCal%2FTrails-at-Valley-Oak%2FModel-Photography%2FPlan-1%2F2342-10_Streetscene_TheTrails-NewHomeCo_EricFiggePhotos.jpg&w=3840&q=75,,,,,,,,
